client,role,label,flows
0,test,backdoor,397
0,test,ddos,8621
0,test,mitm,15
0,test,normal,682
0,train,backdoor,370
0,train,ddos,1638
0,train,dos,13700
0,train,normal,1516
0,train,ransomware,97
0,val,backdoor,1991
0,val,mitm,25
0,val,normal,293
1,test,ddos,7497
1,test,injection,29
1,test,mitm,20
1,test,normal,586
1,test,ransomware,76
1,test,xss,3155
1,train,ddos,9251
1,train,dos,13622
1,train,injection,7
1,train,normal,710
1,train,xss,7941
1,val,mitm,25
1,val,normal,650
1,val,ransomware,2
1,val,xss,4788
2,test,backdoor,1442
2,test,injection,1609
2,test,normal,750
2,test,password,847
2,test,scanning,1531
2,train,backdoor,519
2,train,ddos,21016
2,train,dos,11080
2,train,injection,3868
2,train,normal,951
2,train,password,948
2,train,ransomware,96
2,train,scanning,868
2,train,xss,4131
2,val,backdoor,4561
2,val,normal,347
3,test,backdoor,664
3,test,dos,13676
3,test,mitm,26
3,test,normal,751
3,test,password,3762
3,test,xss,4051
3,train,backdoor,117
3,train,dos,7141
3,train,injection,16
3,train,normal,915
3,train,password,5101
3,train,ransomware,2
3,train,xss,11329
3,val,backdoor,1890
3,val,mitm,151
3,val,normal,742
4,test,backdoor,393
4,test,normal,262
4,test,ransomware,159
4,test,scanning,1398
4,train,backdoor,769
4,train,normal,350
4,train,password,1079
4,train,scanning,7001
4,val,backdoor,1005
4,val,mitm,38
4,val,normal,85
