experiment_id,alpha,seed,label,support,f1,e1_f1,delta_f1
A1,0.5,0,backdoor,2896,0.9917723688721288,0.9968986905582355,-0.005126321686106716
A1,0.5,0,ddos,16118,0.9104387088078713,0.9076850351161534,0.0027536736917178617
A1,0.5,0,dos,13676,0.9981717127395056,0.9891143177461936,0.009057394993311929
A1,0.5,0,injection,1638,0.7272135416666666,0.6839306358381503,0.04328290582851635
A1,0.5,0,mitm,61,0.2278481012658227,0.2201834862385321,0.0076646150272906
A1,0.5,0,normal,3031,0.6849537037037037,0.8505125284738041,-0.16555882477010042
A1,0.5,0,password,4609,0.9410724156992814,0.9827171297309124,-0.04164471403163106
A1,0.5,0,ransomware,235,0.7938671209540034,0.8154657293497364,-0.02159860839573302
A1,0.5,0,scanning,2929,0.9920853406744666,0.982164502164502,0.009920838509964613
A1,0.5,0,xss,7206,0.9706862545058832,0.9673273354528852,0.0033589190529980106
A1,0.5,1,backdoor,2896,0.9944979367262724,0.9975862068965518,-0.0030882701702793502
A1,0.5,1,ddos,16118,0.9157901788705032,0.9047651325154206,0.011025046355082613
A1,0.5,1,dos,13676,0.9944638694638694,0.988718542088516,0.005745327375353493
A1,0.5,1,injection,1638,0.782370820668693,0.8085106382978723,-0.026139817629179274
A1,0.5,1,mitm,61,0.2222222222222222,0.4130434782608695,-0.1908212560386473
A1,0.5,1,normal,3031,0.7011562760758135,0.7997855802733852,-0.09862930419757165
A1,0.5,1,password,4609,0.9469127363864206,0.9852343248448534,-0.03832158845843281
A1,0.5,1,ransomware,235,0.755700325732899,0.9246031746031746,-0.16890284887027562
A1,0.5,1,scanning,2929,0.997775876817793,0.9882758620689656,0.009500014748827446
A1,0.5,1,xss,7206,0.9710391822827938,0.9629729547447224,0.008066227538071402
A2,0.5,0,backdoor,2896,0.9968976215098242,0.9968986905582355,-1.0690484113506926e-06
A2,0.5,0,ddos,16118,0.907513670424627,0.9076850351161534,-0.00017136469152634337
A2,0.5,0,dos,13676,0.9945351209559896,0.9891143177461936,0.005420803209795988
A2,0.5,0,injection,1638,0.9180012812299808,0.6839306358381503,0.23407064539183053
A2,0.5,0,mitm,61,0.1363636363636363,0.2201834862385321,-0.0838198498748958
A2,0.5,0,normal,3031,0.7175847967284099,0.8505125284738041,-0.13292773174539418
A2,0.5,0,password,4609,0.9841931942919868,0.9827171297309124,0.0014760645610744083
A2,0.5,0,ransomware,235,0.7884940778341794,0.8154657293497364,-0.026971651515557027
A2,0.5,0,scanning,2929,0.996402261435669,0.982164502164502,0.014237759271166994
A2,0.5,0,xss,7206,0.9727863525588952,0.9673273354528852,0.0054590171060100445
A2,0.5,1,backdoor,2896,0.9951823812801102,0.9975862068965518,-0.0024038256164415905
A2,0.5,1,ddos,16118,0.9068117313150426,0.9047651325154206,0.0020465987996219903
A2,0.5,1,dos,13676,0.9971489143943272,0.988718542088516,0.008430372305811229
A2,0.5,1,injection,1638,0.8997170701037409,0.8085106382978723,0.09120643180586863
A2,0.5,1,mitm,61,0.419047619047619,0.4130434782608695,0.00600414078674949
A2,0.5,1,normal,3031,0.7152333855988421,0.7997855802733852,-0.08455219467454311
A2,0.5,1,password,4609,0.982006844022519,0.9852343248448534,-0.003227480822334372
A2,0.5,1,ransomware,235,0.7664473684210527,0.9246031746031746,-0.158155806182122
A2,0.5,1,scanning,2929,0.9870309527926682,0.9882758620689656,-0.0012449092762973901
A2,0.5,1,xss,7206,0.9576807730756416,0.9629729547447224,-0.005292181669080853
A3,0.5,0,backdoor,2896,0.9974142389243232,0.9968986905582355,0.0005155483660876925
A3,0.5,0,ddos,16118,0.9089990229439708,0.9076850351161534,0.0013139878278174422
A3,0.5,0,dos,13676,0.982509177283524,0.9891143177461936,-0.006605140462669579
A3,0.5,0,injection,1638,0.8489913544668588,0.6839306358381503,0.16506071862870852
A3,0.5,0,mitm,61,0.1551724137931034,0.2201834862385321,-0.0650110724454287
A3,0.5,0,normal,3031,0.8614449109598957,0.8505125284738041,0.01093238248609163
